あ	3
い	E
う	4
え	5
お	6
か	T
き	G
く	H
け	:
こ	B
さ	X
し	D
す	R
せ	P
そ	C
た	Q
ち	A
つ	Z
て	W
と	S
な	U
に	I
ぬ	1
ね	,
の	K
は	F
ひ	V
ふ	2
へ	^
ほ	-
ま	J
み	N
む	]
め	/
も	M
や	7
ゆ	8
よ	9
ら	O
り	L
る	.
れ	;
ろ	_
わ	0
を	Shift+0
ん	Y
が	T @
ぎ	G @
ぐ	H @
げ	: @
ご	B @
ざ	X @
じ	D @
ず	R @
ぜ	P @
ぞ	C @
だ	Q @
ぢ	A @
づ	Z @
で	W @
ど	S @
ば	F @
び	V @
ぶ	2 @
べ	^ @
ぼ	- @
ぱ	F [
ぴ	V [
ぷ	2 [
ぺ	^ [
ぽ	- [
ぁ	Shift+3
ぃ	Shift+E
ぅ	Shift+4
ぇ	Shift+5
ぉ	Shift+6
っ	Shift+Z
ゃ	Shift+7
ゅ	Shift+8
ょ	Shift+9
ゎ	
うぃ	
うぇ	
うぉ	
う゛	
きゃ	
きゅ	
きょ	
ぎゃ	
ぎゅ	
ぎょ	
しゃ	
しゅ	
しぇ	
しょ	
じゃ	
じゅ	
じぇ	
じょ	
ちゃ	
ちゅ	
ちぇ	
ちょ	
ぢゃ	
ぢゅ	
ぢぇ	
ぢょ	
てぃ	
でぃ	
にゃ	
にゅ	
にょ	
ひゃ	
ひゅ	
ひょ	
びゃ	
びゅ	
びょ	
ぴゃ	
ぴゅ	
ぴょ	
ふぁ	
ふぃ	
ふぇ	
ふぉ	
ぶぁ	
ぶぃ	
ぶぇ	
ぶぉ	
みゃ	
みゅ	
みょ	
りゃ	
りゅ	
りょ	
ー	-
。	.
、	,
？	/
！	
；	
：	
＠	
＊	
括弧	
記号	
